name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2024-08-14T07:00:00,16.3,16.3,14.1,86.82,0,6.5,,0,0,5.4,2.2,207.7,1012,98.2,24.1,9,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T08:00:00,17.2,17.2,14.2,82.53,0,3.2,,0,0,8.6,3.2,238.2,1012,100,24.1,127,0.5,1,10,Overcast,cloudy,
"London,UK",2024-08-14T09:00:00,17.9,17.9,14.3,79.47,0,3.2,,0,0,14,5.8,243.3,1013,99.3,24.1,177,0.6,2,10,Overcast,cloudy,
"London,UK",2024-08-14T10:00:00,18.4,18.4,14.5,78.02,0,3.2,,0,0,15.5,5.4,239.7,1013,99.2,24.1,397,1.4,4,10,Overcast,cloudy,
"London,UK",2024-08-14T11:00:00,19.2,19.2,14.8,75.67,0,3.2,,0,0,20.5,8.6,247,1013,99.5,24.1,395,1.4,4,10,Overcast,cloudy,
"London,UK",2024-08-14T12:00:00,19.5,19.5,15,75.23,0,3.2,,0,0,23.8,9.7,247.5,1013,98.6,24.1,512,1.8,5,10,Overcast,cloudy,
"London,UK",2024-08-14T13:00:00,20.2,20.2,15.1,72.5,0,3.2,,0,0,25.2,9.7,249,1013,100,24.1,657,2.4,7,10,Overcast,cloudy,
"London,UK",2024-08-14T14:00:00,21.3,21.3,15.3,68.63,0,19.4,,0,0,23,9.4,251.6,1013,99.9,24.1,435,1.6,4,10,Overcast,cloudy,
"London,UK",2024-08-14T15:00:00,21,21,15.8,72.18,0,19.4,,0,0,26.3,11.2,270.5,1013,100,24.1,243,0.9,2,10,Overcast,cloudy,
"London,UK",2024-08-14T16:00:00,20.8,20.8,15.9,73.54,0,19.4,,0,0,26.3,9.7,277.8,1013,100,24.1,230,0.8,2,10,Overcast,cloudy,
"London,UK",2024-08-14T17:00:00,20.8,20.8,15.8,73.07,0,19.4,,0,0,24.5,10.4,287.2,1014,100,24.1,293,1.1,3,10,Overcast,cloudy,
"London,UK",2024-08-14T18:00:00,20.9,20.9,15.4,70.79,0,19.4,,0,0,24.8,7.6,285.2,1014,94.9,24.1,236,0.8,2,10,Overcast,cloudy,
"London,UK",2024-08-14T19:00:00,20.4,20.4,15.6,73.94,0,19.4,,0,0,25.6,11.2,298.9,1014,91.5,24.1,156,0.6,2,10,Overcast,cloudy,
"London,UK",2024-08-14T20:00:00,19.6,19.6,15.4,76.71,0,6.5,,0,0,25.9,7.9,322,1015,88.5,24.1,73,0.3,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-14T21:00:00,19.1,19.1,15.3,78.63,0,6.5,,0,0,18.4,3.6,318.1,1015,74.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-14T22:00:00,18.1,18.1,15.4,84.25,0,6.5,,0,0,8.3,3.2,214.3,1015,7.6,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-14T23:00:00,17.2,17.2,15.4,89.16,0,6.5,,0,0,7.2,3.2,215.9,1016,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-15T00:00:00,16.5,16.5,15.2,92.02,0,6.5,,0,0,7.2,3.6,198.6,1016,5.4,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-15T01:00:00,15.9,15.9,14.7,92.58,0,6.5,,0,0,9.7,4.7,220.5,1016,3.4,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-15T02:00:00,15.6,15.6,14.1,90.79,0,0,,0,0,13.7,6.5,225.4,1016,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-15T03:00:00,15.1,15.1,12.8,86.14,0,0,,0,0,17.6,7.6,233.4,1016,37.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-15T04:00:00,14.5,14.5,12.2,86.08,0,0,,0,0,16.6,6.8,239.5,1016,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-15T05:00:00,14,14,11.6,85.46,0,0,,0,0,15.8,6.5,230.2,1016,2.9,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-15T06:00:00,13.4,13.4,10.5,82.6,0,0,,0,0,15.5,7.2,237.8,1016,0,24.1,0,0,0,10,Clear,clear-day,
"London,UK",2024-08-15T07:00:00,13.8,13.8,10.7,81.56,0,0,,0,0,15.8,6.8,223,1016,100,24.1,52,0.2,1,10,Overcast,cloudy,
"London,UK",2024-08-15T08:00:00,15.3,15.3,11.1,76.02,0,0,,0,0,20.2,8.6,221,1017,28.7,24.1,168,0.6,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-15T09:00:00,17.2,17.2,11.4,68.7,0,0,,0,0,28.4,11.9,220.9,1017,100,24.1,286,1,3,10,Overcast,cloudy,
"London,UK",2024-08-15T10:00:00,18.3,18.3,12.3,68.02,0,0,,0,0,34.6,14.8,222.6,1017,100,24.1,436,1.6,4,10,Overcast,cloudy,
"London,UK",2024-08-15T11:00:00,19.4,19.4,13.6,69.14,0,0,,0,0,39.2,16.6,219.5,1016,100,24.1,540,1.9,5,10,Overcast,cloudy,
"London,UK",2024-08-15T12:00:00,20.2,20.2,13.6,65.79,0,0,,0,0,43.2,18.7,219.5,1016,98.2,24.1,641,2.3,6,10,Overcast,cloudy,
"London,UK",2024-08-15T13:00:00,21.1,21.1,13.7,62.65,0,0,,0,0,46.4,19.8,216.2,1015,95.7,24.1,672,2.4,7,10,Overcast,cloudy,
"London,UK",2024-08-15T14:00:00,21.8,21.8,14,61.2,0,3.2,,0,0,47.5,20.5,215.6,1015,92.9,24.1,479,1.7,5,10,Overcast,cloudy,
"London,UK",2024-08-15T15:00:00,22.1,22.1,14.7,62.87,0,3.2,,0,0,48.6,20.9,216.2,1014,98.8,24.1,356,1.3,4,10,Overcast,cloudy,
"London,UK",2024-08-15T16:00:00,21.8,21.8,15.3,66.56,0,3.2,,0,0,59,22,218.6,1014,96.7,24.1,285,1,3,10,Overcast,cloudy,
"London,UK",2024-08-15T17:00:00,21.3,21.3,15.8,70.86,0,3.2,,0,0,50.4,20.5,218.2,1013,99.7,24.1,350,1.3,4,10,Overcast,cloudy,
"London,UK",2024-08-15T18:00:00,20.5,20.5,15.9,74.91,0.1,3.2,rain,0,0,47.5,20.2,223.4,1013,98,24.1,126,0.5,1,10,Overcast,cloudy,
"London,UK",2024-08-15T19:00:00,20.2,20.2,16.3,78.29,0,3.2,,0,0,55.1,15.5,208.6,1012,99.7,24.1,135,0.5,1,10,Overcast,cloudy,
"London,UK",2024-08-15T20:00:00,19.6,19.6,16.3,81.25,0.1,32.3,rain,0,0,45.7,16.9,213.7,1012,99.7,24.1,48,0.2,0,10,Overcast,cloudy,
"London,UK",2024-08-15T21:00:00,19,19,16.6,85.97,0.3,32.3,rain,0,0,45.4,19.1,221.6,1013,99.6,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-15T22:00:00,18.6,18.6,16.8,89.27,1.1,32.3,rain,0,0,43.9,15.8,219.7,1013,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-15T23:00:00,18.7,18.7,17.1,90.42,0.8,32.3,rain,0,0,37.1,15.8,226.8,1012,99.7,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-16T00:00:00,18.8,18.8,17,89.29,0.6,32.3,rain,0,0,37.8,16.6,224.6,1012,99.1,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-16T01:00:00,18.9,18.9,17.1,89.3,0,32.3,,0,0,37.4,14.4,224.1,1012,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-16T02:00:00,18.9,18.9,17.3,90.43,0.1,54.8,rain,0,0,32.8,12.2,231.5,1012,100,22.2,0,0,0,10,"Rain, Overcast",rain,
"London,UK",2024-08-16T03:00:00,18.7,18.7,17.4,92.15,0.3,54.8,rain,0,0,28.1,8.6,224.4,1011,100,24.1,0,0,0,10,"Rain, Overcast",rain,
"London,UK",2024-08-16T04:00:00,18.6,18.6,17.2,91.57,0.1,54.8,rain,0,0,22.7,10.1,231.2,1011,98.3,24.1,0,0,0,10,"Rain, Overcast",rain,
"London,UK",2024-08-16T05:00:00,18.4,18.4,17,91.55,0.2,54.8,rain,0,0,23.4,8.3,248.5,1011,98.8,17.7,0,0,0,10,"Rain, Overcast",rain,
"London,UK",2024-08-16T06:00:00,18.2,18.2,16.6,90.39,0,54.8,rain,0,0,22,7.6,261.1,1012,80.3,23.7,0,0,0,10,"Rain, Partially cloudy",rain,
"London,UK",2024-08-16T07:00:00,18.1,18.1,16.5,90.38,0.1,54.8,rain,0,0,17.3,7.6,263.5,1012,79.5,24.1,39,0.1,0,10,"Rain, Partially cloudy",rain,
"London,UK",2024-08-16T08:00:00,18.5,18.5,16.1,85.92,0,25.8,rain,0,0,21.6,9.4,304.5,1013,73.6,22.4,114,0.4,1,10,Partially cloudy,partly-cloudy-day,
