No.,Date/Time,Cost (£),Energy (kWh),Power (kW),Power Factor,Current 1 (amps)
1,04/03/2024 12:00,0.01,0.01,0.1,0.4,54.6
2,04/03/2024 12:30,0.14,1.36,2.7,-0.97,22.9
3,04/03/2024 13:00,0.25,2.52,5,-0.97,22.8
4,04/03/2024 13:30,0.25,2.52,5,-0.97,22.9
5,04/03/2024 14:00,0.25,2.54,5.1,-0.97,23.1
6,04/03/2024 14:30,0.25,2.53,5.1,-0.97,23
7,04/03/2024 15:00,0.25,2.55,5.1,-0.97,23.1
8,04/03/2024 15:30,0.31,3.1,6.2,-0.98,27.6
9,04/03/2024 16:00,0.3,3.01,6,-0.98,26.8
10,04/03/2024 16:30,0.3,3.03,6.1,-0.98,27
11,04/03/2024 17:00,0.3,3.05,6.1,-0.98,27.1
12,04/03/2024 17:30,0.31,3.08,6.2,-0.98,27.4
13,04/03/2024 18:00,0.3,2.99,6,-0.98,26.9
14,04/03/2024 18:30,0.29,2.85,5.7,-0.98,25.6
15,04/03/2024 19:00,0.32,3.23,6.5,-0.98,28.6
16,04/03/2024 19:30,0.32,3.19,6.4,-0.98,28.1
17,04/03/2024 20:00,0.32,3.17,6.3,-0.98,28.2
18,04/03/2024 20:30,0.32,3.17,6.3,-0.98,28.1
19,04/03/2024 21:00,0.32,3.17,6.3,-0.98,28.1
20,04/03/2024 21:30,0.35,3.46,6.9,-0.99,30.6
21,04/03/2024 22:00,0.37,3.68,7.4,-0.99,32.3
22,04/03/2024 22:30,0.37,3.67,7.3,-0.99,32.3
23,04/03/2024 23:00,0.37,3.67,7.3,-0.99,32.3
24,04/03/2024 23:30,0.37,3.68,7.4,-0.99,32.5
25,05/03/2024 00:00,0.36,3.62,7.2,-0.99,32
26,05/03/2024 00:30,0.36,3.55,7.1,-0.99,31.3
27,05/03/2024 01:00,0.35,3.52,7,-0.99,31.1
28,05/03/2024 01:30,0.34,3.42,6.8,-0.98,30
29,05/03/2024 02:00,0.34,3.4,6.8,-0.98,29.8
30,05/03/2024 02:30,0.33,3.25,6.5,-0.98,28.5
31,05/03/2024 03:00,0.3,3,6,-0.98,26.3
32,05/03/2024 03:30,0.3,2.97,5.9,-0.98,26.1
33,05/03/2024 04:00,0.27,2.7,5.4,-0.98,24.1
34,05/03/2024 04:30,0.28,2.76,5.5,-0.98,24.6
35,05/03/2024 05:00,0.28,2.75,5.5,-0.98,24.6
36,05/03/2024 05:30,0.28,2.78,5.6,-0.98,24.9
37,05/03/2024 06:00,0.27,2.68,5.4,-0.97,23.9
38,05/03/2024 06:30,0.27,2.7,5.4,-0.98,24.2
39,05/03/2024 07:00,0.27,2.75,5.5,-0.98,24.6
40,05/03/2024 07:30,0.28,2.79,5.6,-0.98,25.2
41,05/03/2024 08:00,0.28,2.78,5.6,-0.98,24.9
42,05/03/2024 08:30,0.26,2.6,5.2,-0.97,23.3
43,05/03/2024 09:00,0.23,2.29,4.6,-0.97,20.8
44,05/03/2024 09:30,0.22,2.15,4.3,-0.97,19.5
45,05/03/2024 10:00,0.25,2.48,5,-0.97,22.6
46,05/03/2024 10:30,0.27,2.74,5.5,-0.97,24.6
47,05/03/2024 11:00,0.28,2.83,5.7,-0.98,25.6
48,05/03/2024 11:30,0.29,2.88,5.8,-0.98,26
49,05/03/2024 12:00,0.28,2.77,5.5,-0.98,25.1
50,05/03/2024 12:30,0.27,2.74,5.5,-0.98,24.9
51,05/03/2024 13:00,0.29,2.91,5.8,-0.98,26.4
52,05/03/2024 13:30,0.33,3.3,6.6,-0.98,29.6
53,05/03/2024 14:00,0.34,3.42,6.8,-0.98,30.5
54,05/03/2024 14:30,0.34,3.42,6.8,-0.98,30.6
55,05/03/2024 15:00,0.34,3.42,6.8,-0.98,30.5
56,05/03/2024 15:30,0.33,3.34,6.7,-0.98,29.9
57,05/03/2024 16:00,0.34,3.38,6.8,-0.98,30.2
58,05/03/2024 16:30,0.34,3.39,6.8,-0.98,30.2
59,05/03/2024 17:00,0.34,3.37,6.7,-0.98,30
60,05/03/2024 17:30,0.34,3.37,6.7,-0.98,30
61,05/03/2024 18:00,0.34,3.39,6.8,-0.98,30.1
62,05/03/2024 18:30,0.34,3.37,6.7,-0.98,29.9
63,05/03/2024 19:00,0.34,3.38,6.8,-0.98,29.8
64,05/03/2024 19:30,0.33,3.32,6.6,-0.98,29.5
65,05/03/2024 20:00,0.33,3.32,6.6,-0.98,29.6
66,05/03/2024 20:30,0.31,3.11,6.2,-0.98,27.7
67,05/03/2024 21:00,0.31,3.09,6.2,-0.98,27.7
68,05/03/2024 21:30,0.31,3.09,6.2,-0.98,27.5
69,05/03/2024 22:00,0.3,2.98,6,-0.98,26.3
70,05/03/2024 22:30,0.31,3.15,6.3,-0.98,28.1
71,05/03/2024 23:00,0.33,3.28,6.6,-0.98,29.1
72,05/03/2024 23:30,0.31,3.1,6.2,-0.98,27.4
73,06/03/2024 00:00,0.29,2.94,5.9,-0.98,26.2
74,06/03/2024 00:30,0.27,2.68,5.4,-0.97,23.8
75,06/03/2024 01:00,0.26,2.64,5.3,-0.97,23.5
76,06/03/2024 01:30,0.31,3.14,6.3,-0.98,27.6
77,06/03/2024 02:00,0.34,3.43,6.9,-0.98,30.1
78,06/03/2024 02:30,0.34,3.43,6.9,-0.99,30.4
79,06/03/2024 03:00,0.34,3.42,6.8,-0.98,30.2
80,06/03/2024 03:30,0.34,3.4,6.8,-0.98,30.1
81,06/03/2024 04:00,0.34,3.41,6.8,-0.98,30.1
82,06/03/2024 04:30,0.34,3.41,6.8,-0.98,30.2
83,06/03/2024 05:00,0.34,3.42,6.8,-0.98,30.4
84,06/03/2024 05:30,0.34,3.35,6.7,-0.98,29.8
85,06/03/2024 06:00,0.33,3.31,6.6,-0.98,29.5
86,06/03/2024 06:30,0.32,3.15,6.3,-0.98,28
87,06/03/2024 07:00,0.29,2.87,5.7,-0.98,25.6
88,06/03/2024 07:30,0.27,2.75,5.5,-0.98,24.8
89,06/03/2024 08:00,0.27,2.69,5.4,-0.98,24.3
90,06/03/2024 08:30,0.26,2.62,5.2,-0.97,23.8
91,06/03/2024 09:00,0.25,2.53,5.1,-0.97,23
92,06/03/2024 09:30,0.25,2.53,5.1,-0.97,22.9
93,06/03/2024 10:00,0.24,2.39,4.8,-0.97,21.7
94,06/03/2024 10:30,0.23,2.32,4.6,-0.97,21
95,06/03/2024 11:00,0.23,2.29,4.6,-0.97,20.8
96,06/03/2024 11:30,0.23,2.29,4.6,-0.97,20.7
97,06/03/2024 12:00,0.26,2.58,5.2,-0.97,23.3
98,06/03/2024 12:30,0.26,2.59,5.2,-0.97,23.5
99,06/03/2024 13:00,0.26,2.59,5.2,-0.97,23.4
100,06/03/2024 13:30,0.26,2.58,5.2,-0.97,23.3
101,06/03/2024 14:00,0.26,2.57,5.1,-0.97,23.3
102,06/03/2024 14:30,0.29,2.91,5.8,-0.98,26.2
103,06/03/2024 15:00,0.33,3.29,6.6,-0.98,29.4
104,06/03/2024 15:30,0.33,3.3,6.6,-0.98,29.4
105,06/03/2024 16:00,0.33,3.3,6.6,-0.98,29.5
106,06/03/2024 16:30,0.33,3.29,6.6,-0.98,29.4
107,06/03/2024 17:00,0.31,3.06,6.1,-0.98,27.4
108,06/03/2024 17:30,0.27,2.74,5.5,-0.97,24.7
109,06/03/2024 18:00,0.26,2.58,5.2,-0.97,23.2
110,06/03/2024 18:30,0.26,2.58,5.2,-0.97,23.2
111,06/03/2024 19:00,0.26,2.59,5.2,-0.97,23.3
112,06/03/2024 19:30,0.26,2.57,5.1,-0.97,23
113,06/03/2024 20:00,0.26,2.64,5.3,-0.97,23.6
114,06/03/2024 20:30,0.26,2.65,5.3,-0.97,23.9
115,06/03/2024 21:00,0.28,2.8,5.6,-0.97,25
116,06/03/2024 21:30,0.29,2.91,5.8,-0.98,25.8
117,06/03/2024 22:00,0.3,3.03,6.1,-0.98,26.9
118,06/03/2024 22:30,0.31,3.11,6.2,-0.98,27.4
119,06/03/2024 23:00,0.31,3.11,6.2,-0.98,27.3
120,06/03/2024 23:30,0.28,2.8,5.6,-0.98,24.8
121,07/03/2024 00:00,0.33,3.32,6.6,-0.98,29.6
122,07/03/2024 00:30,0.34,3.36,6.7,-0.98,29.8
123,07/03/2024 01:00,0.34,3.37,6.7,-0.98,29.8
124,07/03/2024 01:30,0.33,3.34,6.7,-0.98,29.4
125,07/03/2024 02:00,0.34,3.35,6.7,-0.98,29.4
126,07/03/2024 02:30,0.33,3.35,6.7,-0.98,29.7
127,07/03/2024 03:00,0.33,3.34,6.7,-0.98,29.7
128,07/03/2024 03:30,0.34,3.35,6.7,-0.98,29.7
129,07/03/2024 04:00,0.33,3.31,6.6,-0.98,29.3
130,07/03/2024 04:30,0.32,3.23,6.5,-0.98,28.6
131,07/03/2024 05:00,0.32,3.23,6.5,-0.98,28.7
132,07/03/2024 05:30,0.32,3.2,6.4,-0.98,28.2
133,07/03/2024 06:00,0.32,3.18,6.4,-0.98,28.2
134,07/03/2024 06:30,0.32,3.17,6.3,-0.98,28.1
135,07/03/2024 07:00,0.31,3.14,6.3,-0.98,27.9
136,07/03/2024 07:30,0.31,3.11,6.2,-0.98,27.7
137,07/03/2024 08:00,0.31,3.13,6.3,-0.98,27.8
138,07/03/2024 08:30,0.34,3.41,6.8,-0.98,30.2
139,07/03/2024 09:00,0.34,3.4,6.8,-0.98,30.6
140,07/03/2024 09:30,0.34,3.4,6.8,-0.98,30.3
141,07/03/2024 10:00,0.34,3.4,6.8,-0.98,30.3
142,07/03/2024 10:30,0.34,3.37,6.7,-0.98,30
143,07/03/2024 11:00,0.34,3.43,6.9,-0.98,30.6
144,07/03/2024 11:30,0.35,3.46,6.9,-0.98,31
145,07/03/2024 12:00,0.34,3.42,6.8,-0.98,30.8
146,07/03/2024 12:30,0.34,3.37,6.7,-0.98,30.4
147,07/03/2024 13:00,0.33,3.35,6.7,-0.98,30.2
148,07/03/2024 13:30,0.33,3.31,6.6,-0.98,29.7
149,07/03/2024 14:00,0.34,3.37,6.7,-0.98,30.2
150,07/03/2024 14:30,0.36,3.56,7.1,-0.98,31.7
151,07/03/2024 15:00,0.36,3.62,7.2,-0.99,32.2
152,07/03/2024 15:30,0.37,3.71,7.4,-0.98,32.8
153,07/03/2024 16:00,0.37,3.71,7.4,-0.98,32.9
154,07/03/2024 16:30,0.37,3.72,7.4,-0.99,33.4
155,07/03/2024 17:00,0.37,3.72,7.4,-0.99,33.5
156,07/03/2024 17:30,0.36,3.65,7.3,-0.99,32.8
157,07/03/2024 18:00,0.37,3.73,7.5,-0.99,33
158,07/03/2024 18:30,0.37,3.74,7.5,-0.99,33
159,07/03/2024 19:00,0.37,3.75,7.5,-0.99,33
160,07/03/2024 19:30,0.37,3.72,7.4,-0.98,32.8
161,07/03/2024 20:00,0.37,3.72,7.4,-0.99,33.1
162,07/03/2024 20:30,0.37,3.7,7.4,-0.99,32.7
163,07/03/2024 21:00,0.37,3.69,7.4,-0.99,32.8
164,07/03/2024 21:30,0.37,3.7,7.4,-0.98,32.6
165,07/03/2024 22:00,0.37,3.71,7.4,-0.99,32.8
166,07/03/2024 22:30,0.37,3.72,7.4,-0.99,32.8
167,07/03/2024 23:00,0.37,3.69,7.4,-0.99,32.4
168,07/03/2024 23:30,0.34,3.45,6.9,-0.98,30.4
169,08/03/2024 00:00,0.32,3.24,6.5,-0.98,28.5
170,08/03/2024 00:30,0.32,3.2,6.4,-0.98,28.2
171,08/03/2024 01:00,0.31,3.11,6.2,-0.98,27.6
172,08/03/2024 01:30,0.29,2.95,5.9,-0.98,26.2
173,08/03/2024 02:00,0.29,2.93,5.9,-0.98,26
174,08/03/2024 02:30,0.3,3.01,6,-0.98,26.6
175,08/03/2024 03:00,0.3,2.98,6,-0.98,26.3
176,08/03/2024 03:30,0.3,2.99,6,-0.98,26.3
177,08/03/2024 04:00,0.34,3.36,6.7,-0.98,29.5
178,08/03/2024 04:30,0.34,3.39,6.8,-0.98,29.7
179,08/03/2024 05:00,0.34,3.4,6.8,-0.98,29.8
180,08/03/2024 05:30,0.33,3.34,6.7,-0.98,29.5
181,08/03/2024 06:00,0.35,3.46,6.9,-0.99,30.8
182,08/03/2024 06:30,0.34,3.37,6.7,-0.99,29.9
183,08/03/2024 07:00,0.33,3.3,6.6,-0.99,29.5
184,08/03/2024 07:30,0.33,3.28,6.6,-0.98,29.2
185,08/03/2024 08:00,0.32,3.24,6.5,-0.98,28.9
186,08/03/2024 08:30,0.31,3.09,6.2,-0.98,27.7
187,08/03/2024 09:00,0.28,2.8,5.6,-0.98,25.3
188,08/03/2024 09:30,0.26,2.65,5.3,-0.98,23.8
189,08/03/2024 10:00,0.26,2.6,5.2,-0.98,23.3
190,08/03/2024 10:30,0.26,2.59,5.2,-0.98,23.3
191,08/03/2024 11:00,0.26,2.59,5.2,-0.98,23.4
192,08/03/2024 11:30,0.26,2.57,5.1,-0.98,23.1
193,08/03/2024 12:00,0.26,2.59,5.2,-0.98,23.3
194,08/03/2024 12:30,0.27,2.66,5.3,-0.98,23.8
195,08/03/2024 13:00,0.27,2.66,5.3,-0.98,23.8
196,08/03/2024 13:30,0.27,2.66,5.3,-0.98,24.1
197,08/03/2024 14:00,0.27,2.67,5.3,-0.98,24.1
198,08/03/2024 14:30,0.27,2.66,5.3,-0.98,24
199,08/03/2024 15:00,0.27,2.67,5.3,-0.98,24
200,08/03/2024 15:30,0.27,2.7,5.4,-0.98,24.3
201,08/03/2024 16:00,0.29,2.85,5.7,-0.98,25.7
202,08/03/2024 16:30,0.29,2.87,5.7,-0.98,25.8
203,08/03/2024 17:00,0.29,2.94,5.9,-0.98,26.5
204,08/03/2024 17:30,0.29,2.91,5.8,-0.98,26.1
205,08/03/2024 18:00,0.29,2.86,5.7,-0.98,25.6
206,08/03/2024 18:30,0.29,2.88,5.8,-0.98,25.7
207,08/03/2024 19:00,0.29,2.88,5.8,-0.98,25.5
208,08/03/2024 19:30,0.29,2.88,5.8,-0.98,25.7
209,08/03/2024 20:00,0.29,2.87,5.7,-0.98,25.5
210,08/03/2024 20:30,0.28,2.85,5.7,-0.98,25.6
211,08/03/2024 21:00,0.29,2.95,5.9,-0.98,26.5
212,08/03/2024 21:30,0.3,3.03,6.1,-0.98,27.1
213,08/03/2024 22:00,0.29,2.94,5.9,-0.98,26.3
214,08/03/2024 22:30,0.29,2.92,5.8,-0.98,25.9
215,08/03/2024 23:00,0.29,2.93,5.9,-0.98,25.8
216,08/03/2024 23:30,0.29,2.92,5.8,-0.98,25.9
217,09/03/2024 00:00,0.29,2.92,5.8,-0.98,26.1
218,09/03/2024 00:30,0.29,2.92,5.8,-0.98,26.1
219,09/03/2024 01:00,0.29,2.93,5.9,-0.98,26
220,09/03/2024 01:30,0.29,2.92,5.8,-0.98,25.9
221,09/03/2024 02:00,0.29,2.92,5.8,-0.98,25.9
222,09/03/2024 02:30,0.29,2.94,5.9,-0.98,26
223,09/03/2024 03:00,0.29,2.94,5.9,-0.98,25.9
224,09/03/2024 03:30,0.3,2.96,5.9,-0.98,26.1
225,09/03/2024 04:00,0.3,2.95,5.9,-0.98,26.1
226,09/03/2024 04:30,0.29,2.95,5.9,-0.98,26.1
227,09/03/2024 05:00,0.3,2.96,5.9,-0.98,26.2
228,09/03/2024 05:30,0.29,2.95,5.9,-0.98,26.1
229,09/03/2024 06:00,0.29,2.94,5.9,-0.98,26.2
230,09/03/2024 06:30,0.29,2.86,5.7,-0.98,25.4
231,09/03/2024 07:00,0.29,2.86,5.7,-0.98,25.3
232,09/03/2024 07:30,0.28,2.85,5.7,-0.98,25.3
233,09/03/2024 08:00,0.28,2.77,5.5,-0.98,24.6
234,09/03/2024 08:30,0.28,2.77,5.5,-0.98,24.8
235,09/03/2024 09:00,0.28,2.77,5.5,-0.98,24.9
236,09/03/2024 09:30,0.28,2.78,5.6,-0.98,24.9
237,09/03/2024 10:00,0.28,2.78,5.6,-0.98,24.9
238,09/03/2024 10:30,0.28,2.77,5.5,-0.98,24.9
239,09/03/2024 11:00,0.28,2.77,5.5,-0.98,24.9
240,09/03/2024 11:30,0.28,2.77,5.5,-0.98,24.9
241,09/03/2024 12:00,0.28,2.77,5.5,-0.98,24.6
242,09/03/2024 12:30,0.28,2.77,5.5,-0.98,24.5
243,09/03/2024 13:00,0.28,2.78,5.6,-0.98,24.8
244,09/03/2024 13:30,0.28,2.82,5.6,-0.98,25.3
245,09/03/2024 14:00,0.31,3.12,6.2,-0.98,27.9
